"type","name","iso_country","municipality","icao_code","iata_code"
"small_airport","La Désirade Airport","GP","Grande Anse","TFFA","DSD"
"small_airport","Basse-Terre Baillif Airport","GP","Basse-Terre","TFFB","BBR"
"small_airport","St-François Airport","GP","St-François","TFFC","SFC"
"large_airport","Martinique Aimé Césaire International Airport","MQ","Fort-de-France","TFFF","FDF"
"medium_airport","Grand Case-Espérance Airport","MF","Grand Case","TFFG","SFG"
"medium_airport","Saint Barthélemy - Rémy de Haenen Airport","BL","Gustavia / Saint-Jean","TFFJ","SBH"
"medium_airport","Marie-Galante Airport","GP","Grand Bourg","TFFM","GBJ"
"large_airport","Guadeloupe - Maryse Condé International Airport","GP","Pointe-à-Pitre","TFFR","PTP"
"small_airport","Terre-de-Haut Airport","GP","Les Saintes","TFFS","LSS"
"medium_airport","Maurice Bishop International Airport","GD","Saint George's","TGPY","GND"
"medium_airport","Cyril E. King Airport","VI","Charlotte Amalie","TIST","STT"
"medium_airport","Henry E Rohlsen Airport","VI","Christiansted","TISX","STX"
"medium_airport","Antonio Nery Juarbe Pol Airport","PR","Arecibo","TJAB","ARE"
"medium_airport","Rafael Hernández International Airport","PR","Aguadilla","TJBQ","BQN"
"medium_airport","Benjamin Rivera Noriega Airport","PR","Culebra","TJCP","CPX"
"medium_airport","Fernando Luis Ribas Dominicci Airport","PR","San Juan","TJIG","SIG"
"medium_airport","Eugenio Maria De Hostos Airport","PR","Mayaguez","TJMZ","MAZ"
"medium_airport","Mercedita Airport","PR","Ponce","TJPS","PSE"
"medium_airport","José Aponte de la Torre Airport","PR","Ceiba","TJRV","NRR"
"large_airport","Luis Munoz Marin International Airport","PR","San Juan","TJSJ","SJU"
"medium_airport","Antonio Rivera Rodriguez Airport","PR","Vieques","TJVQ","VQS"
"medium_airport","Robert L. Bradshaw International Airport","KN","Basseterre","TKPK","SKB"
"medium_airport","Vance W. Amory International Airport","KN","Charlestown","TKPN","NEV"
"medium_airport","George F. L. Charles Airport","LC","Castries","TLPC","SLU"
"large_airport","Hewanorra International Airport","LC","Vieux Fort","TLPL","UVF"
"large_airport","Queen Beatrix International Airport","AW","Oranjestad","TNCA","AUA"
"large_airport","Flamingo International Airport","BQ","Kralendijk, Bonaire","TNCB","BON"
"large_airport","Hato International Airport","CW","Willemstad","TNCC","CUR"
"medium_airport","F. D. Roosevelt Airport","BQ","Sint Eustatius","TNCE","EUX"
"large_airport","Princess Juliana International Airport","SX","Saint Martin","TNCM","SXM"
"medium_airport","Juancho E. Yrausquin Airport","BQ","Saba","TNCS","SAB"
"medium_airport","Clayton J Lloyd International Airport","AI","The Valley","TQPF","AXA"
"medium_airport","John A. Osborne Airport","MS","Gerald's Park","TRPG","MNI"
"medium_airport","A.N.R. Robinson International Airport","TT","Scarborough","TTCP","TAB"
"medium_airport","Piarco International Airport","TT","Port of Spain","TTPP","POS"
"small_airport","Captain Auguste George Airport","VG","Anegada","TUPA","NGD"
"medium_airport","Terrance B. Lettsome International Airport","VG","Road Town","TUPJ","EIS"
"small_airport","Virgin Gorda Airport","VG","Spanish Town","TUPW","VIJ"
"medium_airport","Argyle International Airport","VC","Kingstown","TVSA","SVD"
"medium_airport","J F Mitchell Airport","VC","Bequia","TVSB","BQU"
"medium_airport","Canouan Airport","VC","Canouan","TVSC","CIW"
"medium_airport","Mustique Airport","VC","Mustique Island","TVSM","MQS"
"medium_airport","Union Island International Airport","VC","Union Island","TVSU","UNI"
"medium_airport","L.F. Wade International Airport","BM","Hamilton","TXKF","BDA"
"medium_airport","Batken Airport","KG","Batken","UCFB",
"large_airport","Almaty International Airport","KZ","Almaty","UAAA","ALA"
"medium_airport","Balkhash Airport","KZ","Balkhash","UAAH","BXH"
"small_airport","Usharal Airport","KZ","Usharal","UAAL","USJ"
"small_airport","Boralday Airport","KZ","Boralday","UAAR","BXJ"
"large_airport","Nursultan Nazarbayev International Airport","KZ","Astana","UACC","NQZ"
"medium_airport","Kokshetau Airport","KZ","Kokshetau","UACK","KOV"
"medium_airport","Petropavl Airport","KZ","Petropavl","UACP","PPK"
"medium_airport","Taraz Airport","KZ","Taraz","UADD","DMB"
"small_airport","Razzakov Airport","KG","Isfana","UCFR",
"small_airport","Karakol Airport","KG","Karakol","UCFK","IKG"
"medium_airport","Shymkent Airport","KZ","Shymkent","UAII","CIT"
"medium_airport","Hazrat Sultan International Airport","KZ","Turkıstan","UAIT","HSA"
"medium_airport","Zhezkazgan National Airport","KZ","Zhezkazgan","UAKD","DZN"
"medium_airport","Sary-Arka Airport","KZ","Karaganda","UAKK","KGF"
"medium_airport","Baikonur Krayniy Airport","KZ","Baikonur","UAOL","BXY"
"small_airport","Kyzylorda Airport","KZ","Kyzylorda","UAOO","KZO"
"medium_airport","Uralsk Airport","KZ","Uralsk","UARR","URA"
